Fundo,Ativo,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12
CPTR11,CRA0220073O,AF,recebiveis/ credito/ direito creditorio,fianca,,,,,,,,,
CPTR11,CRA02300VST,AF,imovel,recebiveis/ credito/ direito creditorio,aval,,,,,,,,
CPTR11,23J1042731,,,,,,,,,,,,
CPTR11,CRA02300GO1,recebiveis/ credito/ direito creditorio,aval,,,,,,,,,,
CPTR11,CRA02200CT5,recebiveis/ credito/ direito creditorio,aval,,,,,,,,,,
CPTR11,CRA02300Q8I,recebiveis/ credito/ direito creditorio,aval,,,,,,,,,,
CPTR11,CRA02300NM1,subordinacao,recompra,,,,,,,,,,
CPTR11,CRA02300R5T,AF,recebiveis/ credito/ direito creditorio,,,,,,,,,,
CPTR11,CRA022008YH,cessao fiduciaria,fianca,,,,,,,,,,
CPTR11,CRA023005V5,AF,imovel,recebiveis/ credito/ direito creditorio,aval,,,,,,,,
CPTR11,5483424UN1,,,,,,,,,,,,
CPTR11,CRA021004NV,clean,,,,,,,,,,,
CPTR11,CRA02300CI2,AF,recebiveis/ credito/ direito creditorio,aval,,,,,,,,,
CPTR11,CRA02200DKY,recebiveis/ credito/ direito creditorio,aval,,,,,,,,,,
CPTR11,CRA021005QS,AF,terras,penhor,,,,,,,,,
CPTR11,BBGO11,,,,,,,,,,,,
CPTR11,CRA023001JL,AF,recebiveis/ credito/ direito creditorio,aval,,,,,,,,,
CPTR11,CRA021002ST,AF,terras,ativo biologico,,,,,,,,,
CPTR11,CRA023003JX,AF,imovel,recebiveis/ credito/ direito creditorio,aval,,,,,,,,
CPTR11,CRA022006N6,recebiveis/ credito/ direito creditorio,fianca,,,,,,,,,,
CPTR11,CRA021005L0,subordinacao,recebiveis/ credito/ direito creditorio,,,,,,,,,,
CPTR11,CRA021004I5,AF,terreno,,,,,,,,,,
CPTR11,CRA021004I6,AF,terreno,,,,,,,,,,
CPTR11,CRA023006SH,recebiveis/ credito/ direito creditorio,aval,,,,,,,,,,
CPTR11,CRA021005QP,AF,terras,penhor,,,,,,,,,
CPTR11,CRA0220099D,recebiveis/ credito/ direito creditorio,,,,,,,,,,,
CPTR11,CRA021005LP,subordinacao,recebiveis/ credito/ direito creditorio,,,,,,,,,,
CPTR11,22L1258273,AF,,,,,,,,,,,
CPTR11,4571424MZJ,,,,,,,,,,,,
CPTR11,CRA022007KH,clean,,,,,,,,,,,
CPTR11,CRA023000M9,aval,,,,,,,,,,,
CPTR11,4571422SN6,,,,,,,,,,,,
CPTR11,CRA022002MH,aval,,,,,,,,,,,
CPTR11,CRA021004I1,cessao fiduciaria,aval,,,,,,,,,,
CPTR11,CRA021004I4,AF,terreno,,,,,,,,,,
CPTR11,CRA0190020F,,,,,,,,,,,,
CPTR11,22J1107076,AF,aval,,,,,,,,,,
CPTR11,CRA02200B42,AF,recebiveis/ credito/ direito creditorio,fianca,,,,,,,,,
CPTR11,22L1212138,AF,,,,,,,,,,,
CPTR11,CRA021005LQ,AF,,,,,,,,,,,
CPTR11,CRA021002N3,clean,,,,,,,,,,,
CPTR11,CRA0230099D,AF,terras,recebiveis/ credito/ direito creditorio,aval,,,,,,,,
CPTR11,4571422SN7,,,,,,,,,,,,
CPTR11,CRA023003JY,AF,imovel,recebiveis/ credito/ direito creditorio,aval,,,,,,,,
CPTR11,CRA021005KY,subordinacao,recebiveis/ credito/ direito creditorio,,,,,,,,,,
CPTR11,CRA021005KX,subordinacao,recebiveis/ credito/ direito creditorio,,,,,,,,,,
CPTR11,CRA021002YF,,,,,,,,,,,,
CPTR11,CRA021005LP,AF,,,,,,,,,,,
KNCA11,CRA02300QP6,AF,AF,CF,,,,,,,,,
KNCA11,CRA022006BT,AF,terras,benfeitorias,AF,aval,,,,,,,
KNCA11,CRA021005QP,AF,terras,AF,penhor,FR,,,,,,,
KNCA11,CRA021005QS,AF,terras,AF,penhor,FR,,,,,,,
